lon,lat,clase,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo
55.437241,-4.659547,1,26.01388931274414,5.563756465911865,2358.0,41.766082763671875,338.0,226.0,5.6
104.057006,10.628012,1,24.145042419433594,7.358249664306641,2738.0,75.04228210449219,83.0,669.0,5.1
28.916588,41.008869,1,14.387499809265137,8.125166893005371,697.0,47.266658782958984,86.0,79.0,5.5
55.629253,-21.29627,1,17.095375061035156,6.393249988555908,1552.0,50.785369873046875,193.0,1156.0,5.5
133.811165,34.794112,1,13.5892915725708,8.62358283996582,1499.0,56.082611083984375,138.0,272.0,5.5
120.950352,23.984536,1,20.758499145507812,6.6641669273376465,2474.0,80.86075592041016,113.0,519.0,5.3
135.787292,35.026792,1,14.383916854858398,8.640166282653809,1646.0,43.41466522216797,213.0,187.0,5.3
80.427089,6.989785,1,24.643917083740234,7.440667152404785,4223.0,43.378753662109375,453.0,441.0,5.2
94.2154,26.5394,1,23.88654136657715,10.184415817260742,2055.0,77.92736053466797,67.0,111.0,5.4
121.554496,25.163558,1,20.207000732421875,5.704166889190674,3005.0,26.002685546875,554.0,256.0,4.8
120.9856,23.92595,1,20.758499145507812,6.6641669273376465,2474.0,80.86075592041016,113.0,519.0,5.2
121.368697,24.976713,1,21.199501037597656,6.2226667404174805,2529.0,32.551124572753906,364.0,103.0,4.8
80.647805,7.09462,1,22.20866584777832,8.190500259399414,2745.0,28.487342834472656,484.0,910.0,5.2
80.620128,7.118111,1,22.20866584777832,8.190500259399414,2745.0,28.487342834472656,484.0,910.0,5.2
133.802787,34.040235,1,13.357833862304688,7.371166706085205,1838.0,53.634498596191406,176.0,446.0,5.6
172.6415,-43.514028,1,12.215291976928711,10.258749961853027,809.0,25.350391387939453,161.0,22.0,5.5
120.930772,24.007264,1,19.957500457763672,6.297833442687988,2482.0,80.68724060058594,115.0,629.0,5.2
