lon,lat,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo,prob_idoneidad
-82.6000000000002,8.350000000000005,26.477916717529297,8.970166206359863,2981.0,67.64390563964844,175.0,22.0,5.6,0.1402987490076966
-82.5500000000002,8.350000000000005,26.564666748046875,8.766166687011719,2985.0,72.43779754638672,145.0,20.0,5.6,0.14460457153896134
-83.40000000000015,8.400000000000006,26.331439971923828,9.720454216003418,3596.0,64.92945861816406,176.0,25.0,5.5,0.14388724116034754
-83.35000000000015,8.400000000000006,26.331439971923828,9.720454216003418,3596.0,64.92945861816406,176.0,25.0,5.4,0.1462075238467158
-83.30000000000015,8.400000000000006,25.59903907775879,9.649999618530273,3361.0,63.55267333984375,178.0,165.0,5.4,0.2684204044454645
-83.25000000000016,8.400000000000006,25.59903907775879,9.649999618530273,3361.0,63.55267333984375,178.0,165.0,5.5,0.27565692747032455
-83.15000000000016,8.400000000000006,25.454166412353516,9.466379165649414,3338.0,65.94209289550781,178.0,182.0,5.5,0.37244943608083714
-83.10000000000016,8.400000000000006,25.454166412353516,9.466379165649414,3338.0,65.94209289550781,178.0,182.0,5.5,0.37244943608083714
-83.05000000000017,8.400000000000006,24.87587547302246,9.48075008392334,3062.0,61.00759506225586,216.0,306.0,5.5,0.5083681150633469
-83.00000000000017,8.400000000000006,24.87587547302246,9.48075008392334,3062.0,61.00759506225586,216.0,306.0,5.5,0.5083681150633469
-82.95000000000017,8.400000000000006,25.624916076660156,9.30150032043457,3109.0,60.749420166015625,211.0,144.0,5.8,0.2643194271737857
-82.90000000000018,8.400000000000006,26.180583953857422,9.19849967956543,2996.0,60.05000305175781,188.0,28.0,5.7,0.12355448295360187
-82.85000000000018,8.400000000000006,26.180583953857422,9.19849967956543,2996.0,60.05000305175781,188.0,28.0,5.9,0.157608343177995
-82.80000000000018,8.400000000000006,26.322166442871094,9.10433292388916,2965.0,59.48490905761719,194.0,13.0,5.6,0.1018765589434819
-82.75000000000018,8.400000000000006,26.322166442871094,9.10433292388916,2965.0,59.48490905761719,194.0,13.0,5.8,0.1077912062306508
-82.70000000000019,8.400000000000006,26.399250030517578,8.98799991607666,3050.0,66.65724182128906,163.0,12.0,5.6,0.1348805367655027
-82.65000000000019,8.400000000000006,26.477916717529297,8.970166206359863,2981.0,67.64390563964844,175.0,22.0,5.6,0.1402987490076966
-82.6000000000002,8.400000000000006,26.477916717529297,8.970166206359863,2981.0,67.64390563964844,175.0,22.0,5.7,0.14680734413386642
-82.5500000000002,8.400000000000006,26.564666748046875,8.766166687011719,2985.0,72.43779754638672,145.0,20.0,5.6,0.14460457153896134
-83.65000000000013,8.450000000000006,26.167917251586914,10.055832862854004,3708.0,66.25272369384766,201.0,38.0,5.5,0.18029303351507783
-83.60000000000014,8.450000000000006,26.167917251586914,10.055832862854004,3708.0,66.25272369384766,201.0,38.0,5.5,0.18029303351507783
